Organisaatio,Y-tunnus,Myöntämisvuosi,Avustus €,Laina €,EAKR-rahoitus €,Tutkimusrahoitus €,Yhteensä €
Gofore Oyj,1710128-9,2019,641 700,0,0,0,641 700
Gofore Oyj,1710128-9,2020,100 000,0,0,0,100 000
Gofore Oyj,1710128-9,2024,1 177 200,0,0,0,1 177 200
GoGoCar Oy,2734443-6,2018,50 000,0,0,0,50 000
GoGoCar Oy,2734443-6,2019,0,185 400,0,0,185 400
GoGoCar Oy,2734443-6,2020,45 000,0,0,0,45 000
GoGoCar Oy,2734443-6,2021,10 000,0,0,0,10 000
GoGoCar Oy,2734443-6,2022,6 000,84 000,0,0,90 000
GoGolf Oy,2375690-0,2018,2 089,0,0,0,2 089
GoGolf Oy,2375690-0,2020,100 000,0,0,0,100 000
GoGolf Oy,2375690-0,2021,0,497 600,0,0,497 600
Gogrow Oy,2525030-5,2016,6 200,0,0,0,6 200
Goiglo Oy,2951552-6,2020,10 000,0,0,0,10 000
Going Green Oy,2655730-9,2022,49 950,0,0,0,49 950
Gointo Oy,3381444-9,2024,4 500,0,0,0,4 500
Goland Group Oy,2331109-8,2010,69 000,0,0,0,69 000
Goland Group Oy,2331109-8,2015,86 000,0,0,0,86 000
Goland Group Oy,2331109-8,2020,86 304,0,0,0,86 304
Gold-Sport Oy,2535250-4,2020,10 000,0,0,0,10 000
Gold&Green Foods Oy,2685444-2,2015,104 000,0,0,0,104 000
Gold&Green Foods Oy,2685444-2,2016,0,0,0,0,0
Gold&Green Foods Oy,2685444-2,2020,676 000,0,0,0,676 000
Golden CheckPoint Production Oy,2113411-2,2020,56 329,0,0,0,56 329
GOLDEN CHERRY OY,2764617-8,2019,6 200,0,0,0,6 200
Golden Gateway Oy,2790162-6,2018,16 200,0,0,0,16 200
Golden Gateway Oy,2790162-6,2020,10 000,0,0,0,10 000
GOLDEN OPPORTUNITY FINLAND OY,2280117-5,2020,10 000,0,0,0,10 000
Golden Performance Oy,3286389-8,2023,6 000,0,0,0,6 000
Golden Rainbow Oy,2871144-5,2020,10 000,0,0,0,10 000
Golden SG Oy,2057829-9,2020,4 960,0,0,0,4 960
Golden Shine Oy,2558408-1,2020,25 000,0,0,0,25 000
Golden Skate Oy,0859050-0,2019,6 200,0,0,0,6 200
Golder Associates Oy,0982590-6,2011,44 187,0,0,0,44 187
Golf Center Oy,0948985-0,2020,95 000,0,0,0,95 000
Golf Sky Oy,2643257-3,2020,13 600,0,0,0,13 600
Golf Tailors Oy,1793382-7,2020,54 400,0,0,0,54 400
Golf Talma Oy,0131002-7,2018,1 380,0,0,0,1 380
Golf Talma Oy,0131002-7,2020,100 000,0,0,0,100 000
GolfIT Oy,2955945-7,2019,6 200,0,0,0,6 200
Golfpassi Oy,2236738-0,2020,96 160,0,0,0,96 160
Golfpassi Oy,2236738-0,2022,50 000,0,0,0,50 000
Golfsarfvik Oy,0556314-4,2020,81 079,0,0,0,81 079
Golla Oy,0997012-6,2016,30 000,0,0,0,30 000
Golla Oy,0997012-6,2017,30 000,0,0,0,30 000
Golla Oy,0997012-6,2018,30 000,0,0,0,30 000
Gollmall Oy,1811303-8,2020,10 000,0,0,0,10 000
Goly Oy,2636742-5,2015,24 000,0,0,0,24 000
GoMetan II Oy,2910610-8,2020,82 140,0,0,0,82 140
goMob Finland Oy,2392077-4,2013,85 000,0,0,0,85 000
Gonsul Oy,2683931-4,2022,5 000,0,0,0,5 000
Good Guys Oy,2887471-1,2020,64 887,0,0,0,64 887
Good Guys Oy,2887471-1,2022,10 000,0,0,0,10 000
Good Guys Oy,2887471-1,2023,4 500,0,0,0,4 500
Good Guys Oy,2887471-1,2024,11 070,0,0,0,11 070
Good Guys Oy,2887471-1,2025,10 000,0,0,0,10 000
Good Hand Film & TV Oy,3203131-1,2024,4 891,0,0,0,4 891
Good Hand Film & TV Oy,3203131-1,2025,11 098,0,0,0,11 098
Good Life Coffee Roasters Oy,2606251-7,2020,69 000,0,0,0,69 000
Good Mission Oy,3110844-4,2023,6 000,0,0,0,6 000
Good Practicies Oy,2826268-6,2020,10 000,0,0,0,10 000
Good Sign Oy,2150692-4,2012,277 000,0,0,0,277 000
Good Sign Oy,2150692-4,2014,26 065,0,0,0,26 065
Good Sign Oy,2150692-4,2016,73 700,0,0,0,73 700
Good Sign Oy,2150692-4,2019,20 000,0,0,0,20 000
Good Sign Oy,2150692-4,2020,100 000,0,0,0,100 000
Good Sign Oy,2150692-4,2022,10 000,0,0,0,10 000
Good Sign Oy,2150692-4,2023,40 000,0,0,0,40 000
Good Team Oy,2883946-5,2020,80 232,0,0,0,80 232
Good Tribe Oy,2362356-9,2020,9 500,0,0,0,9 500
Good Vibes Finland Oy,2958054-7,2019,6 200,0,0,0,6 200
Good Vibes Finland Oy,2958054-7,2020,10 000,0,0,0,10 000
Good Workin Oy,2781772-3,2019,14 200,0,0,0,14 200
Good-In People Oy,3372546-2,2024,0,0,0,0,0
GoodCo Oy,2651330-6,2020,10 000,0,0,0,10 000
Goodhum Oy,2808961-7,2020,100 000,0,0,0,100 000
Goodhum Oy,2808961-7,2021,50 000,0,0,0,50 000
Goodie Mob Studios Oy,2505146-1,2023,6 000,0,0,0,6 000
Goodjobs Kuljetus Oy,0568695-3,2020,84 080,0,0,0,84 080
Goodkarma Imports Oy,2257328-0,2020,8 000,0,0,0,8 000
GoodLife Technology Oy,2536679-7,2020,93 390,0,0,0,93 390
GoodLife Technology Oy,2536679-7,2021,0,172 900,0,0,172 900
GoodLife Technology Oy,2536679-7,2024,39 760,0,0,0,39 760
Goodman Worldwide Oy,2833100-4,2020,10 000,0,0,0,10 000
Goodmill Systems Oy,1986327-9,2011,247 000,0,0,0,247 000
Goodmill Systems Oy,1986327-9,2012,375 000,0,0,0,375 000
Goodmill Systems Oy,1986327-9,2013,378 000,0,0,0,378 000
Goodmill Systems Oy,1986327-9,2020,100 000,0,0,0,100 000
Goodmill Systems Oy,1986327-9,2021,128 900,0,0,0,128 900
Goodmill Systems Oy,1986327-9,2022,1 620,0,0,0,1 620
Goodmill Systems Oy,1986327-9,2024,13 026,0,0,0,13 026
Goodmill Systems Oy,1986327-9,2025,6 000,0,0,0,6 000
Goods Network Oy,2831482-9,2018,6 200,0,0,0,6 200
Goodwell Oy (1968984-8),1968984-8,2010,60 000,0,0,0,60 000
Goodwill Promotions Oy,2198915-3,2019,6 200,0,0,0,6 200
Goodwill Tilit Oy,2791413-6,2017,6 200,0,0,0,6 200
Goodwill Tilit Oy,2791413-6,2020,4 960,0,0,0,4 960
Goodwiller Oy,2532512-7,2013,100 000,0,0,0,100 000
Goodwiller Oy,2532512-7,2015,0,354 000,0,0,354 000
Goodwiller Oy,2532512-7,2018,50 000,0,0,0,50 000
Goosebumps Bros. Oy,3184952-5,2023,6 000,0,0,0,6 000
Goosmed Oy,2422979-0,2011,31 750,0,0,0,31 750
GoParking Oy,2694090-6,2019,50 000,0,0,0,50 000
GoParking Oy,2694090-6,2020,100 000,0,0,0,100 000
GOS Consulting Oy,2710752-9,2020,110 000,0,0,0,110 000
GOS Group Oyj,2710752-9,2023,6 000,0,0,0,6 000
goSaimaa Oy,2291705-5,2020,71 302,0,0,0,71 302
Gosei Oy,2483268-8,2013,49 592,0,0,0,49 592
Gosei Oy,2483268-8,2014,60 813,0,0,0,60 813
Gosei Oy,2483268-8,2015,34 989,0,0,0,34 989
Gosei Oy,2483268-8,2020,10 000,0,0,0,10 000
GoSeiv Oy,3000480-3,2020,10 000,0,0,0,10 000
GoSleep Oy,2397181-1,2015,250 000,0,0,0,250 000
GoSleep Oy,2397181-1,2020,99 600,0,0,0,99 600
Gosmix Audio Avoin yhtiö,2061969-5,2020,25 497,0,0,0,25 497
Gosse Oy,2989259-1,2020,100 000,0,0,0,100 000
Gosta Labs Oy,3399380-3,2024,127 500,0,0,0,127 500
Gosta Labs Oy,3399380-3,2025,305 390,0,0,0,305 390
GoStartup Osakeyhtiö,3180818-4,2022,50 000,0,0,0,50 000
Got Cha Import Oy,2399895-0,2020,82 640,0,0,0,82 640
Gotek Oy,2908858-7,2020,10 000,0,0,0,10 000
GoTherapyHouse Oy,3111791-4,2020,4 960,0,0,0,4 960
gotIT Oy,2559548-5,2019,6 200,0,0,0,6 200
GOTO-Sportwear Oy,3134676-8,2021,50 000,0,0,0,50 000
Gotraffic Oy,2728445-3,2017,6 200,0,0,0,6 200
Gourmet Brands Oy,2786053-7,2018,6 200,0,0,0,6 200
Gourmet Herkkukeidas Oy,2199237-9,2020,10 000,0,0,0,10 000
Gourmet Sarfvik Oy,1880492-0,2021,4 960,0,0,0,4 960
Govus Oy,2856619-6,2020,10 000,0,0,0,10 000
GP Game Production Oy,2825518-7,2018,44 600,0,0,0,44 600
GPW Institute Finland Oy,2079754-7,2020,100 000,0,0,0,100 000
GR-Siivous Oy,1495189-4,2020,10 000,0,0,0,10 000
GR-Tuotteet Oy,2781080-4,2020,10 000,0,0,0,10 000
Gr8 Escape Oy,2978448-6,2020,35 680,0,0,0,35 680
Gr8 Games Oy,2995462-5,2024,4 500,0,0,0,4 500
Grace Fashion Oy,2544617-2,2020,5 624,0,0,0,5 624
Grade One Oy,2446590-2,2020,10 000,0,0,0,10 000
Gradient Labs Oy,2379422-9,2019,2 109,0,0,0,2 109
Gradient Labs Oy,2379422-9,2020,61 200,0,0,0,61 200
Grado Design Oy,2328256-5,2019,4 560,0,0,0,4 560
Grado Design Oy,2328256-5,2020,10 000,0,0,0,10 000
Grafago Oy,2933397-6,2020,10 000,0,0,0,10 000
Grafenium Oy,2935620-3,2018,6 200,0,0,0,6 200
Grafi Consult Oy,0686188-0,2013,59 800,0,0,0,59 800
Grafi Consult Oy,0686188-0,2020,6 480,0,0,0,6 480
Grafintec Oy,2472202-4,2024,232 300,0,0,0,232 300
Grafipro Oy,0837175-4,2016,6 200,0,0,0,6 200
Grafipro Oy,0837175-4,2020,110 000,0,0,0,110 000
Grafipro Tools Oy,2820912-1,2020,10 000,0,0,0,10 000
Grail Group Oy,2637286-5,2016,50 000,0,0,0,50 000
Grail Group Oy,2637286-5,2020,45 848,0,0,0,45 848
Grail Group Oy,2637286-5,2022,4 960,0,0,0,4 960
Grail Group Oy,2637286-5,2023,50 000,0,0,0,50 000
GrainSense Oy,2630019-1,2016,0,889 000,0,0,889 000
GrainSense Oy,2630019-1,2017,66 100,0,0,0,66 100
GrainSense Oy,2630019-1,2018,0,218 000,0,0,218 000
GrainSense Oy,2630019-1,2019,258 760,0,0,0,258 760
GrainSense Oy,2630019-1,2020,259 984,276 000,0,0,535 984
GrainSense Oy,2630019-1,2021,0,750 000,0,0,750 000
GrainSense Oy,2630019-1,2023,14 375,0,0,0,14 375
GrainSense Oy,2630019-1,2025,295 211,0,0,0,295 211
Graldo Oy,3351558-8,2023,0,0,0,0,0
Gramofoni Oy,1080342-1,2020,12 000,0,0,0,12 000
GramonD Oy,2259806-6,2010,173 030,0,0,0,173 030
Gramont Capital Oy,2540840-8,2017,50 000,0,0,0,50 000
Gramus Oy,2703533-4,2020,10 000,0,0,0,10 000
Gran Delicato Oy,1652584-8,2020,10 000,0,0,0,10 000
Gran Design Ky,2751089-5,2018,6 200,0,0,0,6 200
Grand Avocado Oy,2322868-1,2021,10 000,0,0,0,10 000
Grand Cru Oy,2398418-8,2011,0,612 000,0,0,612 000
Grand Cru Oy,2398418-8,2012,250 000,793 000,0,0,1 043 000
Grand Cru Oy,2398418-8,2013,750 000,0,0,0,750 000
Grand Cru Oy,2398418-8,2014,0,681 000,0,0,681 000
Grand Film Production Oy,3254244-5,2022,1 132 662,0,0,0,1 132 662
Grand Lemon Oy,2750240-6,2020,4 960,0,0,0,4 960
Grand Music Consulting & Design Oy,3190713-1,2021,4 960,0,0,0,4 960
Grand Prix Marketing Oy,2516555-7,2020,4 960,0,0,0,4 960
Grand Rental Oy,2796517-9,2020,49 200,0,0,0,49 200
Grand yhtiöt Oy,1537501-6,2021,4 960,0,0,0,4 960
Grandellin Liikenne Oy,0139803-0,2020,67 000,0,0,0,67 000
Grandelux Oy,2750498-9,2020,110 000,0,0,0,110 000
GrandPartner Oy,2354382-5,2019,6 200,0,0,0,6 200
GrandPartner Oy,2354382-5,2025,4 770,0,0,0,4 770
Grandpop Oy,1856801-6,2017,7 980,0,0,0,7 980
Grandpop Oy,1856801-6,2018,9 145,0,0,0,9 145
Grandpop Oy,1856801-6,2019,1 560,0,0,0,1 560
Grandpop Oy,1856801-6,2020,18 262,0,0,0,18 262
Grandpop Oy,1856801-6,2022,13 176,0,0,0,13 176
Grandpop Oy,1856801-6,2023,3 805,0,0,0,3 805
Grandpop Oy,1856801-6,2024,15 000,0,0,0,15 000
Graniitti Services Oy,2824902-7,2020,90 447,0,0,0,90 447
Graniittirakennus Kallio Oy,0533768-1,2011,98 100,0,0,0,98 100
Graniittirakennus Kallio Oy,0533768-1,2015,60 000,0,0,0,60 000
Graniittirakennus Kallio Oy,0533768-1,2017,94 770,0,0,0,94 770
Granite Development Oy,0898242-4,2020,28 800,0,0,0,28 800
Granite Devices Oy,2677148-7,2020,100 000,0,0,0,100 000
Granite Devices Oy,2677148-7,2025,913 002,0,0,0,913 002
Granite Partners Oy,1972201-1,2011,48 500,0,0,0,48 500
Granite Partners Oy,1972201-1,2014,69 500,0,0,0,69 500
Granite Partners Oy,1972201-1,2017,99 750,0,0,0,99 750
Granite Partners Oy,1972201-1,2020,94 800,0,0,0,94 800
Granite Partners Oy,1972201-1,2021,40 000,0,0,0,40 000
Granitics Oy,1660905-6,2013,74 500,74 500,0,0,149 000
Granlund Consulting Oy,2654080-6,2020,38 350,0,0,0,38 350
Granlund Oy,1704694-5,2010,306 185,0,0,0,306 185
Granlund Oy,1704694-5,2011,12 250,0,0,0,12 250
Granlund Oy,1704694-5,2012,187 363,0,0,0,187 363
Granlund Oy,1704694-5,2013,104 613,0,0,0,104 613
Granlund Oy,1704694-5,2014,52 500,0,0,0,52 500
Granlund Oy,1704694-5,2015,436 867,0,0,0,436 867
Granlund Oy,1704694-5,2016,208 000,0,0,0,208 000
Granlund Oy,1704694-5,2017,1 139 200,0,0,0,1 139 200
Granlund Oy,1704694-5,2018,297 400,0,0,0,297 400
Granlund Oy,1704694-5,2019,296 380,0,0,0,296 380
Granlund Oy,1704694-5,2020,339 000,0,0,0,339 000
Granlund Oy,1704694-5,2021,1 340 000,0,0,0,1 340 000
Granlund Oy,1704694-5,2022,241 668,300 000,0,0,541 668
Granlund Oy,1704694-5,2023,1 294 200,0,0,0,1 294 200
Granlund Oy,1704694-5,2024,194 200,0,0,0,194 200
Granlund Oy,1704694-5,2025,335 760,0,0,0,335 760
Granlund Saimaa Oy,2519022-6,2015,15 000,0,0,0,15 000
Granlunds Farmtillbehör Ab,9213967-4,2020,72 000,0,0,0,72 000
Grannenfelt Finance Oy,3012099-4,2020,4 960,0,0,0,4 960
Grannenfelt Finance Oy,3012099-4,2023,49 966,0,0,0,49 966
Grannenfelt Finance Oy,3012099-4,2024,40 000,0,0,0,40 000
GrannFlux Oy,2735059-6,2018,6 200,0,0,0,6 200
GrannFlux Oy,2735059-6,2020,10 000,0,0,0,10 000
Grano Oy,2197935-0,2020,50 000,0,0,0,50 000
Grant4Com Oy,2174187-9,2020,110 000,0,0,0,110 000
GRANTECH OY,2478404-9,2020,10 000,0,0,0,10 000
Grantrade Oy,0565498-6,2020,24 500,0,0,0,24 500
Grants Funding Oy,2967478-9,2019,26 200,0,0,0,26 200
Grants Funding Oy,2967478-9,2020,81 600,0,0,0,81 600
Grants Funding Oy,2967478-9,2021,50 000,0,0,0,50 000
Grape People Finland Oy,2158652-2,2020,78 400,0,0,0,78 400
Grape People Finland Oy,2158652-2,2022,50 000,0,0,0,50 000
Grapevine Media Oy,2294583-0,2020,110 000,0,0,0,110 000
Grapevine Media Oy,2294583-0,2023,28 350,0,0,0,28 350
Graphic Concrete Oy,1801749-2,2019,20 000,0,0,0,20 000
Graphic Concrete Oy,1801749-2,2020,100 000,0,0,0,100 000
Grapho Group Oy,2393140-6,2022,50 000,0,0,0,50 000
Grapho Group Oy,2393140-6,2025,40 000,0,0,0,40 000
GrassMark Oy,2539816-6,2020,101 900,0,0,0,101 900
Grata Oy,0756383-4,2018,6 200,0,0,0,6 200
Grata Oy,0756383-4,2019,50 000,0,0,0,50 000
Grate Finland Oy,2411571-8,2014,99 900,0,0,0,99 900
Gravasoft Oy,2711259-8,2016,6 200,0,0,0,6 200
Gravel Sports Oy,2781980-9,2020,4 960,0,0,0,4 960
Gravicon Oy,0807661-6,2010,0,614 000,0,0,614 000
Gravicon Oy,0807661-6,2016,99 400,0,0,0,99 400
Gravicon Oy,0807661-6,2018,3 105,0,0,0,3 105
Gravicon Oy,0807661-6,2019,132 435,0,0,0,132 435
Gravicon Oy,0807661-6,2020,99 800,1 044 000,0,0,1 143 800
Gravicon Oy,0807661-6,2021,6 150,0,0,0,6 150
Gravicon Oy,0807661-6,2025,19 658,0,0,0,19 658
Gravito Oy,2891268-5,2018,6 200,0,0,0,6 200
Gravito Oy,2891268-5,2019,49 875,0,0,0,49 875
Gravito Oy,2891268-5,2021,0,110 050,0,0,110 050
Gravito Oy,2891268-5,2023,250 000,0,0,0,250 000
Gravito Oy,2891268-5,2024,28 980,0,0,0,28 980
Gravity Pictures Co. Ltd,-,2019,337 000,0,0,0,337 000
Gravodi Oy,2710316-5,2018,6 200,0,0,0,6 200
GrayMatter Software Services Oy,2577666-5,2014,0,1 400 000,0,0,1 400 000
GRC Nordic Oy,2329206-9,2020,10 000,0,0,0,10 000
GRDN Planner Oy,3233917-2,2024,4 500,0,0,0,4 500
Greasy Fingers Oy,2630190-1,2016,6 200,0,0,0,6 200
Greasy Fingers Oy,2630190-1,2017,50 000,0,0,0,50 000
Greasy Fingers Oy,2630190-1,2020,110 000,0,0,0,110 000
Great Apes Oy,2230363-5,2010,29 574,0,0,0,29 574
Great Catch Oy,3102326-4,2020,4 960,0,0,0,4 960
Great Clean Power Oy,3120503-3,2020,4 960,0,0,0,4 960
Great Kids Oy,2330461-3,2020,10 000,0,0,0,10 000
Great Minds Oy,2558760-2,2020,58 000,0,0,0,58 000
Great Outfit Oy,2022665-6,2019,1 800,0,0,0,1 800
Great Point Oy,2085995-5,2017,18 100,0,0,0,18 100
Great Point Oy,2085995-5,2020,10 000,0,0,0,10 000
Great Reality Technology Global Oy,2986508-3,2020,4 960,0,0,0,4 960
Great Slogan Oy,2812252-8,2019,6 200,0,0,0,6 200
Great Slogan Oy,2812252-8,2020,98 400,0,0,0,98 400
Great smile Oy,3213675-4,2021,4 960,0,0,0,4 960
GreatGain Oy,3248452-1,2022,5 000,0,0,0,5 000
Grebmit Oy,2609716-2,2020,88 800,0,0,0,88 800
Gredi Oy,1474817-5,2018,50 000,0,0,0,50 000
Gredi Oy,1474817-5,2020,49 950,0,0,0,49 950
Gredon Invest Oy,1838940-5,2018,56 200,0,0,0,56 200
Gredon Invest Oy,1838940-5,2020,109 664,0,0,0,109 664
Gredon Invest Oy,1838940-5,2021,3 724,0,0,0,3 724
Gredon Invest Oy,1838940-5,2022,4 500,0,0,0,4 500
Green Attachments Oy,2799121-1,2020,10 000,0,0,0,10 000
Green Attachments Oy,2799121-1,2023,6 000,0,0,0,6 000
Green Attachments Oy,2799121-1,2024,9 261,0,0,0,9 261
Green Attachments Oy,2799121-1,2025,10 000,0,0,0,10 000
Green Automation Group Oy,2377043-8,2019,12 250,0,0,0,12 250
Green Berry Oy,2935242-1,2018,6 200,0,0,0,6 200
Green Berry Oy,2935242-1,2019,50 000,0,0,0,50 000
Green Berry Oy,2935242-1,2020,78 750,0,0,0,78 750
Green Carbon Finland Oy,2998894-8,2022,49 500,0,0,0,49 500
Green Care Wear Oy,3094381-9,2020,10 000,0,0,0,10 000
Green carpet Turku Oy,2448422-2,2016,6 200,0,0,0,6 200
"Green Disposal Oy, Ltd",2783532-3,2021,4 960,0,0,0,4 960
Green Electronics Oy,1527515-4,2010,0,319 000,0,0,319 000
Green Elephant Oy,2732829-2,2018,50 000,0,0,0,50 000
Green Elephant Oy,2732829-2,2019,10 000,0,0,0,10 000
Green Elephant Oy,2732829-2,2020,50 000,0,0,0,50 000
Green Factory AI Oy,3433010-4,2024,60 000,0,0,0,60 000
green farm Oy,2628647-3,2020,100 000,0,0,0,100 000
Green Finance Oy,0988875-5,2016,5 400,0,0,0,5 400
Green Fuel Nordic Oy,2433135-7,2014,50 000,0,0,0,50 000
Green Hippo Café Oy,2902242-2,2020,101 000,0,0,0,101 000
Green Hippo Café Oy,2902242-2,2022,5 000,0,0,0,5 000
Green House Effect Oy,2413133-9,2012,71 000,0,0,0,71 000
Green House Effect Oy,2413133-9,2020,150 000,0,0,0,150 000
Green House Effect Oy,2413133-9,2023,40 000,0,0,0,40 000
Green House Viherkumpu Oy,3220846-3,2024,4 500,0,0,0,4 500
Green House Wear,2819094-2,2018,6 200,0,0,0,6 200
Green Master Oy,2789860-7,2023,6 000,0,0,0,6 000
Green Master Oy,2789860-7,2024,0,0,0,0,0
Green Merit Oy,1058054-7,2019,2 362,0,0,0,2 362
GREEN NET FINLAND RY,1727756-7,2014,0,0,0,0,0
Green Net Finland ry,1727756-7,2010,32 739,0,0,0,32 739
Green Net Finland ry,1727756-7,2011,69 854,0,0,0,69 854
Green Net Finland ry,1727756-7,2012,51 560,0,0,0,51 560
Green Net Finland ry,1727756-7,2013,209 769,0,0,0,209 769
Green North Energy Oy,3238750-2,2025,200 000,0,0,0,200 000
Green NortH2 Energy Oy,3238750-2,2022,0,2 386 374,0,0,2 386 374
Green Ray Oy,3241984-2,2022,5 000,0,0,0,5 000
Green Reflection Oy,2983812-2,2019,6 200,0,0,0,6 200
Green Site osk,2977276-8,2020,40 000,0,0,0,40 000
Green Sneaker Media Oy,3137201-8,2021,4 960,0,0,0,4 960
Green Source International Oy,2923265-7,2019,6 200,0,0,0,6 200
Green Taste Oy,1754730-1,2020,64 000,0,0,0,64 000
Green taxi Oy,2926143-1,2020,14 880,0,0,0,14 880
Green Team Finland Oy,3180413-2,2022,5 000,0,0,0,5 000
Green Trail Oy,0959231-3,2020,100 000,0,0,0,100 000
Green Tread Oy Ltd,0486622-3,2020,80 000,0,0,0,80 000
Green vuokraus- ja pesupalvelut Oy,3249454-3,2022,5 000,0,0,0,5 000
Green Water Pro Oy,2537184-4,2019,6 200,0,0,0,6 200
Green Wing Oy,3264713-2,2024,4 500,0,0,0,4 500
Green Zero Oy,2991014-7,2020,50 000,0,0,0,50 000
GreenACT Oy,2414051-8,2017,6 200,0,0,0,6 200
GreenACT Oy,2414051-8,2020,14 400,0,0,0,14 400
Greenbay Marine Ltd Ab,2817744-9,2020,10 000,0,0,0,10 000
GreenCred Tech Oy,3437788-5,2024,4 500,0,0,0,4 500
Greendeli Oy,2021507-6,2020,100 000,0,0,0,100 000
Greenele Oy,2932961-9,2020,4 960,0,0,0,4 960
GreenEnergy Finland Oy,2360592-6,2016,1 715 250,372 000,0,0,2 087 250
GreenEnergy Finland Oy,2360592-6,2018,437 000,0,0,0,437 000
Greener Grass Oy,2657088-8,2015,50 000,0,0,0,50 000
Greener Grass Oy,2657088-8,2016,0,161 000,0,0,161 000
Greener Grass Oy,2657088-8,2020,100 000,0,0,0,100 000
Greener Polymers Oy,2624035-2,2016,6 200,0,0,0,6 200
Greenergia Oy,2973027-7,2019,6 200,0,0,0,6 200
GreEnerMan Oy,3243213-1,2022,5 000,0,0,0,5 000
GreEnerMan Oy,3243213-1,2023,60 000,0,0,0,60 000
Greenext Bio Oy,3189272-6,2021,54 960,0,0,0,54 960
GREENFELLAS Oy,2903257-5,2020,10 000,0,0,0,10 000
Greenfox Oy,1103719-1,2020,100 000,0,0,0,100 000
Greenful Finland OY,3105126-5,2022,71 855,0,0,0,71 855
Greengrip Oy,2426497-5,2020,6 128,0,0,0,6 128
Greenled Oy,2311958-1,2013,164 000,0,0,0,164 000
Greenled Oy,2311958-1,2014,50 000,0,0,0,50 000
Greenled Oy,2311958-1,2017,72 800,0,0,0,72 800
Greenled Oy,2311958-1,2020,100 000,0,0,0,100 000
Greenlight Consulting Oy,2514693-8,2016,6 200,0,0,0,6 200
Greenlips Finland Oy,2362292-9,2022,25 000,0,0,0,25 000
Greenlit Productions Oy,2403006-0,2017,2 145,0,0,0,2 145
Greenlit Productions Oy,2403006-0,2020,10 000,0,0,0,10 000
Greenlit Productions Oy,2403006-0,2022,5 000,0,0,0,5 000
Greenlux Finland Oy,2111187-7,2011,250 000,0,0,0,250 000
Greenlux Finland Oy,2111187-7,2012,375 000,190 000,0,0,565 000
Greenlux Finland Oy,2111187-7,2016,19 200,0,0,0,19 200
Greenlux Finland Oy,2111187-7,2018,0,206 000,0,0,206 000
Greenlux Finland Oy,2111187-7,2020,100 000,304 300,0,0,404 300
Greenlux Lighting Solutions Oy,2111187-7,2022,28 075,0,0,0,28 075
Greenlux Lighting Solutions Oy,2111187-7,2024,55 000,0,0,0,55 000
GreenMorrow Oy,2687906-8,2020,4 960,0,0,0,4 960
GreenPay Oy,3128353-3,2020,4 960,0,0,0,4 960
GreenPay Oy,3128353-3,2021,50 000,0,0,0,50 000
GreenPulse Insights Oy,3427143-1,2024,4 500,0,0,0,4 500
Greenstar Hotels Oy,2190146-5,2017,7 125,0,0,0,7 125
Greenstar Hotels Oy,2190146-5,2018,12 175,0,0,0,12 175
Greenstar Hotels Oy,2190146-5,2019,7 975,0,0,0,7 975
Greenstar Hotels Oy,2190146-5,2020,100 000,0,0,0,100 000
Greenstar Hotels Oy,2190146-5,2021,0,238 770,0,0,238 770
Greenstep Oy,2306461-3,2020,10 000,0,0,0,10 000
GreenStream Network Oy,1713829-2,2016,42 200,0,0,0,42 200
GreenStream Network Oy,1713829-2,2017,57 800,0,0,0,57 800
GreenStream Network Oy,1713829-2,2020,100 000,0,0,0,100 000
GreenStream Network Oyj,1713829-2,2010,96 918,79 000,0,0,175 918
GreenStream Network Oyj,1713829-2,2012,107 000,0,0,0,107 000
GreenStream Network Oyj,1713829-2,2013,445 000,0,0,0,445 000
GreenWhale Oy,2215955-7,2020,56 680,0,0,0,56 680
Greenzap Oy,1746033-7,2020,15 650,0,0,0,15 650
Greevola Oy,3286735-4,2022,5 000,0,0,0,5 000
Greip IP Solutions Oy,2924410-5,2018,325 000,0,0,0,325 000
Greip IP Solutions Oy,2924410-5,2020,100 000,1 699 100,0,0,1 799 100
GREIT Business Consulting Oy,2531316-9,2016,49 800,0,0,0,49 800
GREIT Business Consulting Oy,2531316-9,2020,82 800,0,0,0,82 800
Greittek Oy,0723934-8,2012,19 475,0,0,0,19 475
Greittek Oy,0723934-8,2017,6 200,0,0,0,6 200
Grellar Trading osakeyhtiö,0116212-4,2020,70 000,0,0,0,70 000
Gremedium Oy,2842188-6,2017,50 000,0,0,0,50 000
Grenius Oy,2934411-4,2019,6 200,0,0,0,6 200
Grenius Oy,2934411-4,2020,59 500,0,0,0,59 500
Grenotech Oy,2007529-6,2010,56 000,0,0,0,56 000
GREON OY,3116570-5,2023,6 000,0,0,0,6 000
Grey Area Oy,2224276-4,2010,0,244 000,0,0,244 000
Grey Area Oy,2224276-4,2011,1 000 000,0,0,0,1 000 000
Grey Area Oy,2224276-4,2012,0,749 000,0,0,749 000
Grey Beard Oy,2645137-9,2016,6 610,0,0,0,6 610
Grey Capital Oy,3223238-3,2022,5 000,0,0,0,5 000
Grey Media Oy,2911869-4,2020,4 960,0,0,0,4 960
Grey Realm Arts Oy,3144711-2,2021,4 960,0,0,0,4 960
GREY TO BLUE OY,3095035-7,2019,6 200,0,0,0,6 200
GreyCrunch Oy Ab,2376750-3,2011,42 000,0,0,0,42 000
GRHealth Oy,2471920-4,2020,100 000,0,0,0,100 000
